sample,source_frame,result_frame,requested_mask,poll_mask,input_polls,speed_percent,lagged
1,20183,20184,0,0,4,50,false
2,20184,20185,0,0,4,50,false
3,20185,20186,0,0,4,50,false
4,20186,20187,128,128,4,50,false
5,20187,20188,128,128,4,50,false
6,20188,20189,0,0,4,50,false
7,20189,20190,0,0,4,50,false
8,20190,20191,0,0,4,50,false
9,20191,20192,0,0,4,50,false
10,20192,20193,128,128,4,50,false
11,20193,20194,128,128,4,50,false
12,20194,20195,128,128,4,50,false
13,20195,20196,128,128,4,50,false
14,20196,20197,0,0,4,50,false
15,20197,20198,0,0,4,50,false
16,20198,20199,0,0,4,50,false
17,20199,20200,0,0,4,50,false
18,20200,20201,128,128,4,50,false
19,20201,20202,128,128,4,50,false
20,20202,20203,128,128,4,50,false
21,20203,20204,128,128,4,50,false
22,20204,20205,0,0,4,50,false
23,20205,20206,0,0,4,50,false
24,20206,20207,0,0,4,50,false
25,20207,20208,0,0,4,50,false
26,20208,20209,128,128,4,50,false
27,20209,20210,128,128,4,50,false
28,20210,20211,128,128,4,50,false
29,20211,20212,128,128,4,50,false
30,20212,20213,0,0,4,50,false
31,20213,20214,0,0,4,50,false
32,20214,20215,0,0,4,50,false
33,20215,20216,0,0,4,50,false
34,20216,20217,128,128,4,50,false
35,20217,20218,128,128,4,50,false
36,20218,20219,128,128,4,50,false
37,20219,20220,128,128,4,50,false
38,20220,20221,0,0,4,50,false
39,20221,20222,0,0,4,50,false
40,20222,20223,0,0,4,50,false
41,20223,20224,0,0,4,50,false
42,20224,20225,128,128,4,50,false
43,20225,20226,128,128,4,50,false
44,20226,20227,128,128,4,50,false
45,20227,20228,128,128,4,50,false
46,20228,20229,0,0,4,50,false
47,20229,20230,0,0,4,50,false
48,20230,20231,0,0,4,50,false
49,20231,20232,0,0,4,50,false
50,20232,20233,128,128,4,50,false
51,20233,20234,128,128,4,50,false
52,20234,20235,128,128,4,50,false
53,20235,20236,128,128,4,50,false
54,20236,20237,0,0,4,50,false
55,20237,20238,0,0,4,50,false
56,20238,20239,0,0,4,50,false
57,20239,20240,0,0,4,50,false
58,20240,20241,128,128,4,50,false
59,20241,20242,128,128,4,50,false
60,20242,20243,128,128,4,50,false
61,20243,20244,128,128,4,50,false
62,20244,20245,0,0,4,50,false
63,20245,20246,0,0,4,50,false
64,20246,20247,0,0,4,50,false
65,20247,20248,0,0,4,50,false
66,20248,20249,128,128,4,50,false
67,20249,20250,128,128,4,50,false
68,20250,20251,128,128,4,50,false
69,20251,20252,128,128,4,50,false
70,20252,20253,0,0,4,50,false
71,20253,20254,0,0,4,50,false
72,20254,20255,0,0,4,50,false
73,20255,20256,0,0,4,50,false
74,20256,20257,128,128,4,50,false
75,20257,20258,128,128,4,50,false
76,20258,20259,128,128,4,50,false
77,20259,20260,128,128,4,50,false
78,20260,20261,0,0,4,50,false
79,20261,20262,0,0,4,50,false
80,20262,20263,0,0,4,50,false
81,20263,20264,0,0,4,50,false
82,20264,20265,128,128,4,50,false
83,20265,20266,128,128,4,50,false
84,20266,20267,128,128,4,50,false
85,20267,20268,128,128,4,50,false
86,20268,20269,0,0,4,50,false
87,20269,20270,0,0,4,50,false
88,20270,20271,0,0,4,50,false
89,20271,20272,0,0,4,50,false
90,20272,20273,128,128,4,50,false
91,20273,20274,128,128,4,50,false
92,20274,20275,128,128,4,50,false
93,20275,20276,128,128,4,50,false
94,20276,20277,0,0,4,50,false
95,20277,20278,0,0,4,50,false
96,20278,20279,0,0,4,50,false
97,20279,20280,0,0,4,50,false
98,20280,20281,128,128,4,50,false
99,20281,20282,128,128,4,50,false
100,20282,20283,128,128,4,50,false
101,20283,20284,128,128,4,50,false
102,20284,20285,0,0,4,50,false
103,20285,20286,0,0,4,50,false
104,20286,20287,0,0,4,50,false
105,20287,20288,0,0,4,50,false
106,20288,20289,128,128,4,50,false
107,20289,20290,128,128,4,50,false
108,20290,20291,128,128,4,50,false
109,20291,20292,128,128,4,50,false
110,20292,20293,0,0,4,50,false
111,20293,20294,0,0,4,50,false
112,20294,20295,0,0,4,50,false
113,20295,20296,0,0,4,50,false
114,20296,20297,128,128,4,50,false
115,20297,20298,128,128,4,50,false
116,20298,20299,128,128,4,50,false
117,20299,20300,128,128,4,50,false
118,20300,20301,0,0,4,50,false
119,20301,20302,0,0,4,50,false
120,20302,20303,0,0,4,50,false
121,20303,20304,0,0,4,50,false
122,20304,20305,128,128,4,50,false
123,20305,20306,128,128,4,50,false
124,20306,20307,128,128,4,50,false
125,20307,20308,128,128,4,50,false
126,20308,20309,0,0,4,50,false
127,20309,20310,0,0,4,50,false
128,20310,20311,0,0,4,50,false
129,20311,20312,0,0,4,50,false
130,20312,20313,128,128,4,50,false
131,20313,20314,128,128,4,50,false
132,20314,20315,128,128,4,50,false
133,20315,20316,128,128,4,50,false
134,20316,20317,0,0,4,50,false
135,20317,20318,0,0,4,50,false
136,20318,20319,0,0,4,50,false
137,20319,20320,0,0,4,50,false
138,20320,20321,128,128,4,50,false
139,20321,20322,128,128,4,50,false
140,20322,20323,128,128,4,50,false
141,20323,20324,128,128,4,50,false
142,20324,20325,0,0,4,50,false
143,20325,20326,0,0,4,50,false
144,20326,20327,0,0,4,50,false
145,20327,20328,0,0,4,50,false
146,20328,20329,128,128,4,50,false
147,20329,20330,128,128,4,50,false
148,20330,20331,128,128,4,50,false
149,20331,20332,128,128,4,50,false
150,20332,20333,0,0,4,50,false
151,20333,20334,0,0,4,50,false
152,20334,20335,0,0,4,50,false
153,20335,20336,0,0,4,50,false
154,20336,20337,128,128,4,50,false
155,20337,20338,128,128,4,50,false
156,20338,20339,128,128,4,50,false
157,20339,20340,128,128,4,50,false
158,20340,20341,0,0,4,50,false
159,20341,20342,0,0,4,50,false
160,20342,20343,0,0,4,50,false
161,20343,20344,0,0,4,50,false
162,20344,20345,128,128,4,50,false
163,20345,20346,128,128,4,50,false
164,20346,20347,128,128,4,50,false
165,20347,20348,128,128,4,50,false
166,20348,20349,0,0,4,50,false
167,20349,20350,0,0,4,50,false
168,20350,20351,0,0,4,50,false
169,20351,20352,0,0,4,50,false
170,20352,20353,128,128,4,50,false
171,20353,20354,128,128,4,50,false
172,20354,20355,128,128,4,50,false
173,20355,20356,128,128,4,50,false
174,20356,20357,0,0,4,50,false
175,20357,20358,0,0,4,50,false
176,20358,20359,0,0,4,50,false
177,20359,20360,0,0,4,50,false
178,20360,20361,128,128,4,50,false
179,20361,20362,128,128,4,50,false
180,20362,20363,128,128,4,50,false
181,20363,20364,128,128,4,50,false
182,20364,20365,0,0,4,50,false
183,20365,20366,0,0,4,50,false
184,20366,20367,0,0,4,50,false
185,20367,20368,0,0,4,50,false
186,20368,20369,128,128,4,50,false
187,20369,20370,128,128,4,50,false
188,20370,20371,128,128,4,50,false
189,20371,20372,128,128,4,50,false
190,20372,20373,0,0,4,50,false
191,20373,20374,0,0,4,50,false
192,20374,20375,0,0,4,50,false
193,20375,20376,0,0,4,50,false
194,20376,20377,128,128,4,50,false
195,20377,20378,128,128,4,50,false
196,20378,20379,128,128,4,50,false
197,20379,20380,128,128,4,50,false
198,20380,20381,0,0,4,50,false
199,20381,20382,0,0,4,50,false
200,20382,20383,0,0,4,50,false
201,20383,20384,0,0,4,50,false
202,20384,20385,128,128,4,50,false
203,20385,20386,128,128,4,50,false
204,20386,20387,128,128,4,50,false
205,20387,20388,128,128,4,50,false
206,20388,20389,0,0,4,50,false
207,20389,20390,0,0,4,50,false
208,20390,20391,0,0,4,50,false
209,20391,20392,0,0,4,50,false
210,20392,20393,128,128,4,50,false
211,20393,20394,128,128,4,50,false
212,20394,20395,128,128,4,50,false
213,20395,20396,128,128,4,50,false
214,20396,20397,0,0,4,50,false
215,20397,20398,0,0,4,50,false
216,20398,20399,0,0,4,50,false
217,20399,20400,0,0,4,50,false
218,20400,20401,128,128,4,50,false
219,20401,20402,128,128,4,50,false
220,20402,20403,128,128,4,50,false
221,20403,20404,128,128,4,50,false
222,20404,20405,0,0,4,50,false
223,20405,20406,0,0,4,50,false
224,20406,20407,0,0,4,50,false
225,20407,20408,0,0,4,50,false
226,20408,20409,128,128,4,50,false
227,20409,20410,128,128,4,50,false
228,20410,20411,128,128,4,50,false
229,20411,20412,128,128,4,50,false
230,20412,20413,0,0,4,50,false
231,20413,20414,0,0,4,50,false
232,20414,20415,0,0,4,50,false
233,20415,20416,0,0,4,50,false
234,20416,20417,128,128,4,50,false
235,20417,20418,128,128,4,50,false
236,20418,20419,128,128,4,50,false
237,20419,20420,128,128,4,50,false
238,20420,20421,0,0,4,50,false
239,20421,20422,0,0,4,50,false
240,20422,20423,0,0,4,50,false
241,20423,20424,0,0,4,50,false
242,20424,20425,128,128,4,50,false
243,20425,20426,128,128,4,50,false
244,20426,20427,128,128,4,50,false
245,20427,20428,128,128,4,50,false
246,20428,20429,0,0,4,50,false
247,20429,20430,0,0,4,50,false
